index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
197,536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,12/1/2010 10:03,8.5,12431.0,Australia
198,536389,21622,VINTAGE UNION JACK CUSHION COVER,8,12/1/2010 10:03,4.95,12431.0,Australia
199,536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/1/2010 10:03,1.25,12431.0,Australia
200,536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,12/1/2010 10:03,5.45,12431.0,Australia
201,536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,12/1/2010 10:03,6.35,12431.0,Australia
202,536389,85014B,RED RETROSPOT UMBRELLA,6,12/1/2010 10:03,5.95,12431.0,Australia
203,536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,12/1/2010 10:03,5.95,12431.0,Australia
204,536389,22193,RED DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
205,536389,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 10:03,3.75,12431.0,Australia
206,536389,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/2010 10:03,3.75,12431.0,Australia
207,536389,22192,BLUE DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
208,536389,22191,IVORY DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
209,536389,22195,LARGE HEART MEASURING SPOONS,24,12/1/2010 10:03,1.65,12431.0,Australia
210,536389,22196,SMALL HEART MEASURING SPOONS,24,12/1/2010 10:03,0.85,12431.0,Australia
385,536403,22867,HAND WARMER BIRD DESIGN,96,12/1/2010 11:27,1.85,12791.0,Netherlands
386,536403,POST,POSTAGE,1,12/1/2010 11:27,15.0,12791.0,Netherlands
1236,536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,12/1/2010 13:24,0.42,12433.0,Norway
1237,536532,22444,GROW YOUR OWN PLANT IN A CAN ,96,12/1/2010 13:24,1.06,12433.0,Norway
1238,536532,22899,CHILDREN'S APRON DOLLY GIRL ,8,12/1/2010 13:24,2.1,12433.0,Norway
1239,536532,21156,RETROSPOT CHILDRENS APRON,8,12/1/2010 13:24,1.95,12433.0,Norway
1240,536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,12/1/2010 13:24,1.65,12433.0,Norway
1241,536532,22555,PLASTERS IN TIN STRONGMAN,36,12/1/2010 13:24,1.65,12433.0,Norway
1242,536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,12/1/2010 13:24,1.65,12433.0,Norway
1243,536532,22553,PLASTERS IN TIN SKULLS,24,12/1/2010 13:24,1.65,12433.0,Norway
